Okonomi / Yuji Ramen	{'lat': 40.7125377, 'lng': -73.948781}
Momofuku Nishi	{'lat': 40.7443485, 'lng': -73.9988078}
The Cecil	{'lat': 40.8047705, 'lng': -73.952519}
High Street on Hudson	{'lat': 40.7388849, 'lng': -74.005693}
Han Dynasty	{'lat': 40.7322262, 'lng': -73.9882804}
Abyssinia	{'lat': 40.8160287, 'lng': -73.9460698}
Murray’s Cheese Bar	{'lat': 40.731215, 'lng': -74.003164}
El Cortez	{'lat': 40.707104, 'lng': -73.933081}
Avra Estiatorio	{'lat': 40.755118, 'lng': -73.9725204}
Llama Inn	{'lat': 40.7166288, 'lng': -73.9504256}
Vaucluse	{'lat': 40.7650839, 'lng': -73.9677516}
Houseman	{'lat': 40.7257281, 'lng': -74.0093323}
Lowlife	{'lat': 40.7202093, 'lng': -73.9839799}
Babu Ji	{'lat': 40.7274843, 'lng': -73.9791939}
Quality Eats	{'lat': 40.7344783, 'lng': -74.0001118}
Oiji	{'lat': 40.727263, 'lng': -73.985845}
Le Veau d’Or	{'lat': 40.76317429999999, 'lng': -73.9681073}
Avant Garden	{'lat': 40.72611199999999, 'lng': -73.983963}
Sushi Azabu / Azabu	{'lat': 40.72243, 'lng': -74.0099244}
Virginia’s	{'lat': 40.7266747, 'lng': -73.97724649999999}
Bruno	{'lat': 40.7322828, 'lng': -73.9873456}
Gabriel Kreuther	{'lat': 40.7545385, 'lng': -73.9824993}
Jams	{'lat': 40.76473370000001, 'lng': -73.9765262}
Timna	{'lat': 40.7271969, 'lng': -73.9839263}
Seamore’s	{'lat': 40.7206673, 'lng': -73.99691}
Brooklyn Bavarian Biergarten	{'lat': 40.6638453, 'lng': -73.9894115}
Superiority Burger	{'lat': 40.7274495, 'lng': -73.98362279999999}
Wildair	{'lat': 40.7200288, 'lng': -73.98915370000002}
Mulino a Vino	{'lat': 40.74067109999999, 'lng': -74.0042437}
Ganso Yaki	{'lat': 40.68550520000001, 'lng': -73.98038199999999}
Faro	{'lat': 40.707428, 'lng': -73.922845}
Little Park	{'lat': 40.7152366, 'lng': -74.0091553}
The Black Ant	{'lat': 40.72571600000001, 'lng': -73.9892979}
Shuko	{'lat': 40.7336366, 'lng': -73.99161289999999}
Chomp Chomp	{'lat': 40.7317455, 'lng': -74.00166829999999}
Charlie Palmer at the Knick	{'lat': 40.7554172, 'lng': -73.9862223}
Rosie’s	{'lat': 40.72493999999999, 'lng': -73.990821}
The Four Horsemen	{'lat': 40.71308399999999, 'lng': -73.95733400000002}
Lupulo	{'lat': 40.7468785, 'lng': -73.9902168}
Gaia Italian Café	{'lat': 40.7216887, 'lng': -73.9853325}
Streetbird	{'lat': 40.804356, 'lng': -73.9556935}
Rebelle	{'lat': 40.7219651, 'lng': -73.9937594}
Astoria Seafood	{'lat': 40.754094, 'lng': -73.9298302}
Momofuku Ko	{'lat': 40.72484459999999, 'lng': -73.9916604}
Racines NY	{'lat': 40.7145751, 'lng': -74.0075586}
El Rey Coffee Bar & Luncheonette	{'lat': 40.72139019999999, 'lng': -73.98797189999999}
Noreetuh	{'lat': 40.7272642, 'lng': -73.9851971}
Bar Bolonat	{'lat': 40.73765710000001, 'lng': -74.0058562}
Pizza, Pizza	{'lat': 40.704038, 'lng': -74.01047799999999}
Javelina	{'lat': 40.7368197, 'lng': -73.9874428}
Happy Ending	{'lat': 40.7189086, 'lng': -73.9922188}
The Polo Bar	{'lat': 40.7617135, 'lng': -73.9743749}
Café Clover	{'lat': 40.72953699999999, 'lng': -74.002681}
Tuome	{'lat': 40.7239978, 'lng': -73.9829489}
Stella 34	{'lat': 40.75033000000001, 'lng': -73.9883415}
Cosme	{'lat': 40.7396162, 'lng': -73.9883565}
Beijing Pop Kabob	{'lat': 40.7178094, 'lng': -73.99794899999999}
The Eddy	{'lat': 40.7264545, 'lng': -73.98667}
Via Carota	{'lat': 40.73314380000001, 'lng': -74.0036545}
Greenpoint Fish & Lobster Co.	{'lat': 40.7241445, 'lng': -73.94908889999999}
Balvanera	{'lat': 40.72063310000001, 'lng': -73.98539199999999}
La Savane	{'lat': 40.80423800000001, 'lng': -73.9542159}
Awadh	{'lat': 40.7955935, 'lng': -73.9707039}
Turntable Mad for Chicken	{'lat': 40.74709139999999, 'lng': -73.9858429}
Shun Lee West	{'lat': 40.7728366, 'lng': -73.9813891}
Upland	{'lat': 40.74185179999999, 'lng': -73.98477249999999}
White Street	{'lat': 40.7191375, 'lng': -74.00609790000001}
King Bee	{'lat': 40.727626, 'lng': -73.983761}
Nobu New York	{'lat': 40.719455, 'lng': -74.0089232}
Emmett’s	{'lat': 40.72732459999999, 'lng': -74.0024635}
Brooklyn Beet Company	{'lat': 40.63326999999999, 'lng': -74.02669500000002}
Dirty French	{'lat': 40.721946, 'lng': -73.987285}
Gotham West Market	{'lat': 40.76227069999999, 'lng': -73.9967042}
Hometown Bar-B-Que	{'lat': 40.674858, 'lng': -74.016021}
Dimes	{'lat': 40.7149638, 'lng': -73.99154639999999}
The Gorbals	{'lat': 40.7184749, 'lng': -73.96066739999999}
Élan	{'lat': 40.7388132, 'lng': -73.9884539}
Bâtard	{'lat': 40.7195598, 'lng': -74.0057489}
The Pavilion Market Cafe	{'lat': 40.7364469, 'lng': -73.9899162}
Rockaway Beach Surf Club	{'lat': 40.5888048, 'lng': -73.8121584}
Two if by Sea	{'lat': 40.7324849, 'lng': -74.00259299999999}
Barchetta	{'lat': 40.7476268, 'lng': -74.0035374}
Beyond Beirut	{'lat': 40.7302657, 'lng': -73.9830192}
Schmear Campaign	{'lat': 40.7209046, 'lng': -73.99467779999999}
The Runner	{'lat': 40.67723499999999, 'lng': -73.98599899999999}
Tavern on the Green	{'lat': 40.7721848, 'lng': -73.9777806}
Margaux	{'lat': 40.7326695, 'lng': -73.9967114}
Navy	{'lat': 40.726811, 'lng': -74.0018583}
Pickle Shack	{'lat': 40.6764663, 'lng': -73.9839604}
Bunker	{'lat': 40.713963, 'lng': -73.9213473}
Gato	{'lat': 40.7255794, 'lng': -73.9952599}
The Writing Room	{'lat': 40.77945499999999, 'lng': -73.95092600000001}
Little Lamb	{'lat': 40.7622731, 'lng': -73.82904049999999}
Willow Road	{'lat': 40.74335299999999, 'lng': -74.008021}
Telepan Local	{'lat': 40.77516, 'lng': -73.97992599999999}
Narcissa	{'lat': 40.727868, 'lng': -73.990755}
Contra	{'lat': 40.7199073, 'lng': -73.9891596}
All’Onda	{'lat': 40.734742, 'lng': -73.993104}
Foragers City Table	{'lat': 40.7446215, 'lng': -73.9993866}
Betony	{'lat': 40.7641992, 'lng': -73.9762526}
Empire Diner	{'lat': 40.7470924, 'lng': -74.0043727}
Saul	{'lat': 40.6711464, 'lng': -73.96349599999999}
Fung Tu	{'lat': 40.7153193, 'lng': -73.99141259999999}
Rotisserie Georgette	{'lat': 40.764315, 'lng': -73.9716858}
Café Nadery	{'lat': 40.7325172, 'lng': -73.9975116}
Khe-Yo	{'lat': 40.7169041, 'lng': -74.0085972}
Aita	{'lat': 40.6864843, 'lng': -73.9666208}
Sushi Nakazawa	{'lat': 40.7317831, 'lng': -74.0045627}
Piora	{'lat': 40.73063209999999, 'lng': -74.0065901}
The Lambs Club	{'lat': 40.7565107, 'lng': -73.98464109999999}
Charlie Bird	{'lat': 40.7277293, 'lng': -74.0029058}
SkáL	{'lat': 40.7147797, 'lng': -73.9909249}
Marco’s	{'lat': 40.7377171, 'lng': -73.9813949}
Hunan Manor	{'lat': 40.74963, 'lng': -73.97704499999999}
Toro	{'lat': 40.74335299999999, 'lng': -74.008021}
City Grit	{'lat': 40.722922, 'lng': -73.9952265}
Glasserie	{'lat': 40.737722, 'lng': -73.9561763}
Shalom Japan	{'lat': 40.7091953, 'lng': -73.955883}
Uncle Boons	{'lat': 40.7212894, 'lng': -73.994373}
Chez José	{'lat': 40.7114518, 'lng': -73.9578567}
Luksus	{'lat': 40.7234209, 'lng': -73.9507884}
Atrium	{'lat': 41.0443691, 'lng': -73.6893904}
Umami Burger	{'lat': 40.734368, 'lng': -73.99845599999999}
Corvo Bianco	{'lat': 40.783664, 'lng': -73.9745372}
The Elm	{'lat': 40.7209522, 'lng': -73.9556741}
Estela	{'lat': 40.72464129999999, 'lng': -73.994739}
Abc Cocina	{'lat': 40.7379803, 'lng': -73.98928409999999}
